task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,200,0.004709454084967114,0.004709454084967114,0.0002789090518162064,0.01670057040391754,0.975,0.08317383770066222
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,200,-0.007938666666666662,0.007938666666666662,0.00038118342222222295,0.019523919233141254,1.0,0.11321319112835133
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,200,0.0002902916666666699,0.0002902916666666699,0.0003031175975694453,0.017410272759765866,0.96,0.07432357627323478
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,50,0.04291666666666666,0.04291666666666666,0.003224499999999999,0.05678468103282785,0.68,0.13245123729585578
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,50,0.0006999999999999996,0.0006999999999999996,0.004132222222222221,0.06428236322835543,0.88,0.2184238783937426
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,50,-0.08020656306371787,0.08020656306371787,0.008800911251722198,0.09381317205873703,0.97,0.2649684627251348
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,50,0.025767187950511507,0.025767187950511507,0.0020102809166827546,0.044836156354919124,0.85,0.1474175413078493
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,50,-0.005965999999999951,0.005965999999999951,0.001686468177777778,0.04106663095236542,0.99,0.22703983047763843
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,50,0.01506816666666667,0.01506816666666667,0.002037361583333333,0.04513714194910144,0.815,0.1316850128693478
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,100,0.028800000000000006,0.028800000000000006,0.0014953333333333344,0.03866954012311673,0.8,0.10015116671003962
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,100,-0.0019166666666666755,0.0019166666666666755,0.0015478333333333334,0.03934251305309987,0.945,0.15777527098388636
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,100,-0.059462795429359006,0.059462795429359006,0.004464021945522408,0.06681333658426593,0.97,0.2003522294322742
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,100,0.016223045519318798,0.016223045519318798,0.000929112286064165,0.030481343245732546,0.885,0.11186777836963475
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,100,-0.0054599999999999605,0.0054599999999999605,0.0008510961777777776,0.02917355271093628,0.99,0.16025694765808
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,100,0.007450250000000003,0.007450250000000003,0.0008471014375000013,0.02910500708641043,0.865,0.09975963608305777
agnews,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,200,0.016558333333333352,0.016558333333333352,0.0004954583333333344,0.022258893353743675,0.86,0.07371057340237751
agnews,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,200,-0.006133333333333343,0.006133333333333343,0.0009510000000000015,0.030838287890218575,0.945,0.11299417375560136
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,200,-0.04599806989867825,0.04599806989867825,0.0023967724106369217,0.04895684232706315,0.99,0.1474578699283111
agnews,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,200,0.007417317931097808,0.007417317931097808,0.00027391106521510567,0.01655025876580501,0.965,0.08259064074053697
agnews,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,200,-0.00773066666666666,0.00773066666666666,0.0003254269333333336,0.018039593491354887,1.0,0.11326739656057512
agnews,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,200,0.000903583333333336,0.000903583333333336,0.00024917611458333424,0.0157853132557873,0.965,0.07364680734931603
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,50,0.011083333333333329,0.011083333333333329,0.0013082777777777765,0.03617012272273591,0.84,0.10970936129900305
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,50,-0.006449999999999991,0.006449999999999991,0.0029338333333333334,0.054164871765133286,0.885,0.167950204177278
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,50,-0.060995365967279475,0.060995365967279475,0.005451416803919382,0.07383371048457055,0.845,0.1718040943444648
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,50,-0.018443924211880076,0.018443924211880076,0.0015480780111805136,0.039345622516113704,0.915,0.1324417258152346
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,50,-0.014362666666666626,0.014362666666666626,0.0015877329777777755,0.03984636718419605,0.975,0.18433650288727854
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,50,-0.002188666666666667,0.002188666666666667,0.0013701900777777754,0.0370160786385832,0.85,0.11027480254207857
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,100,-0.005916666666666643,0.005916666666666643,0.0005986111111111099,0.024466530426505307,0.925,0.08820269106861289
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,100,-0.020183333333333327,0.020183333333333327,0.0024334999999999995,0.049330517937682346,0.84,0.1354873247355461
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,100,-0.05890973934531532,0.05890973934531532,0.004198730855748673,0.06479761458378443,0.68,0.138124798817194
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,100,-0.027708202419129115,0.027708202419129115,0.0013503446395392743,0.0367470357925544,0.91,0.10690707054473751
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,100,-0.025203999999999973,0.025203999999999973,0.0013579823999999969,0.03685081274544697,0.985,0.13731579503798252
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,100,-0.017015916666666634,0.017015916666666634,0.0009471443402777757,0.030775710231898398,0.9,0.087650045263528
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,10,200,-0.00959166666666663,0.00959166666666663,0.0003668749999999988,0.019153981309377923,0.925,0.06336288290172122
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,10,200,-0.016766666666666645,0.016766666666666645,0.0011541111111111103,0.03397221086581075,0.87,0.09347400661424951
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,200,-0.04689527554460535,0.04689527554460535,0.0025118871415213493,0.050118730446025356,0.545,0.09922583253689492
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,200,-0.02520404225506325,0.02520404225506325,0.0009206164015535723,0.030341661153496065,0.81,0.077106224681331
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,200,-0.020442999999999975,0.020442999999999975,0.0007553102888888877,0.027482909032503958,0.97,0.09503733707452476
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,200,-0.016947166666666617,0.016947166666666617,0.0005950964708333315,0.024394599214443584,0.795,0.06325600824026258
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,50,0.015033333333333334,0.015033333333333334,0.0016421111111111098,0.04052297016645139,0.755,0.10738193210194945
sst2,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,50,-0.019149999999999983,0.019149999999999983,0.0038341666666666663,0.06192064814475593,0.87,0.1820790565858622
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,50,-0.07849032709263884,0.07849032709263884,0.008338360400525874,0.0913146231472587,0.72,0.18789669997493236
sst2,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,50,-0.01776758881565028,0.01776758881565028,0.0017249018859288512,0.041531938143179056,0.925,0.132028635333438
sst2,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,50,-0.021009999999999952,0.021009999999999952,0.002297395466666664,0.0479311534043013,0.97,0.1909492639179354
sst2,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,50,-0.0029896666666666648,0.0029896666666666648,0.0017506931777777756,0.04184128556554848,0.8,0.10685824018263693
sst2,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,100,0.001450000000000014,0.001450000000000014,0.0005873888888888877,0.024236107131486436,0.9,0.08373298384113333
