task,model,method,method_label,N,m,bias,abs_bias,mse,rmse,coverage,mean_width
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,10,200,-0.005468663203207911,0.005468663203207911,0.0008108682868698519,0.028475749101118514,1.0,0.174772629169614
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,10,200,0.019665474591656434,0.019665474591656434,0.0011416379452782498,0.03378813320203189,0.97,0.14330636140309352
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,10,200,0.026402333333333326,0.026402333333333326,0.0016406633555555558,0.040505102833538836,0.95,0.15944560538199326
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,10,200,0.034785541666666676,0.034785541666666676,0.002049107378819446,0.045267067265501594,0.735,0.1111636750096746
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,50,0.09394999999999999,0.09394999999999999,0.012037944444444447,0.10971756670854693,0.625,0.21441723274599242
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,50,0.042950000000000016,0.042950000000000016,0.009807166666666667,0.09903113988370864,0.875,0.31295695586118283
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,50,-0.04280775031549162,0.04280775031549162,0.0051368092170194805,0.07167153700751422,0.995,0.3751868648859741
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,50,0.03219752147980359,0.03219752147980359,0.004285117571967812,0.0654608094356296,0.94,0.2804137560455298
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,50,0.016578666666666696,0.016578666666666696,0.004592596444444445,0.06776869811678873,0.97,0.31826264749007593
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,50,0.04185250000000001,0.04185250000000001,0.005944087727777778,0.07709791000914212,0.82,0.2138009795222756
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,100,0.07083333333333335,0.07083333333333335,0.006784333333333334,0.08236706461525344,0.53,0.15405004898552843
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,100,0.03653333333333334,0.03653333333333334,0.004920666666666667,0.0701474637222663,0.855,0.2227928494760814
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,100,-0.026386034869401342,0.026386034869401342,0.002494403533990169,0.04994400398436402,0.99,0.26955648188445996
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,100,0.02654466792173139,0.02654466792173139,0.0024617549495715625,0.04961607551561855,0.96,0.20191150423820362
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,100,0.02354733333333336,0.02354733333333336,0.002851522400000002,0.05339964793891437,0.96,0.22438783237001203
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,100,0.03971058333333335,0.03971058333333335,0.0037113903375000003,0.06092118135345046,0.795,0.1528438186855608
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,25,200,0.050883333333333364,0.050883333333333364,0.003276583333333336,0.05724144768726011,0.54,0.11008784263501399
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,25,200,0.03280000000000001,0.03280000000000001,0.0031583333333333346,0.05619905100029123,0.84,0.15789321072835036
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,25,200,-0.01804602544011903,0.01804602544011903,0.0010188175118728084,0.03191892090708595,1.0,0.19263149706451643
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,25,200,0.01925640142727846,0.01925640142727846,0.001051528959678803,0.032427287269810326,0.985,0.144560488191134
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,25,200,0.02394733333333334,0.02394733333333334,0.0013852313333333338,0.03721869601871261,0.965,0.15830914591998388
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,25,200,0.03190058333333337,0.03190058333333337,0.0017873546270833363,0.042277117062109806,0.79,0.11002023750916394
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,50,0.10795,0.10795,0.01449261111111111,0.12038526118720311,0.455,0.21076459631834696
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,50,0.03976666666666668,0.03976666666666668,0.009427333333333334,0.09709445572911635,0.88,0.3122882354515225
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,50,-0.048615619002398504,0.048615619002398504,0.005311716707153593,0.07288152514288922,1.0,0.3959693153648552
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,50,0.04465500029856967,0.04465500029856967,0.004849353672046344,0.0696373008670378,0.945,0.2773367709936481
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,50,0.017856000000000028,0.017856000000000028,0.00421139982222222,0.06489529892235817,0.975,0.317681257202592
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,50,0.049839,0.049839,0.006194395744444443,0.07870448363622268,0.81,0.2104962750752536
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,100,0.07556666666666667,0.07556666666666667,0.007382333333333333,0.08592050589546905,0.53,0.15257779676202882
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,100,0.03535000000000001,0.03535000000000001,0.005639277777777777,0.07509512486025825,0.855,0.22200963374946714
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,100,-0.035688262195518926,0.035688262195518926,0.0029727266752949478,0.05452271705715837,1.0,0.2866521549590983
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,100,0.02989895986238543,0.02989895986238543,0.002610208603336316,0.05109020065860297,0.925,0.2015803707953291
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,100,0.020223333333333374,0.020223333333333374,0.00266848328888889,0.051657364323868575,0.96,0.22411287840274668
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,100,0.03784241666666667,0.03784241666666667,0.0035193769124999986,0.05932433659553218,0.785,0.15275333803023997
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,50,200,0.05840833333333337,0.05840833333333337,0.004043236111111115,0.06358644597012097,0.45,0.10915673657718418
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,50,200,0.03238333333333334,0.03238333333333334,0.003144055555555556,0.05607187847357672,0.82,0.15719027573973612
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,50,200,-0.020442358226703265,0.020442358226703265,0.0010545049069643315,0.032473141316545454,1.0,0.20507580022901103
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,50,200,0.025787277755777157,0.025787277755777157,0.0013034498842643108,0.03610332234385515,0.945,0.14449889339514282
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,50,200,0.022603333333333354,0.022603333333333354,0.0012605990666666677,0.03550491609153115,0.97,0.15811829765949162
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,50,200,0.03443983333333338,0.03443983333333338,0.0019046776902777807,0.0436426132384139,0.77,0.10937372921903359
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,50,0.1201,0.1201,0.017054,0.13059096446538712,0.335,0.20701133709455496
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,50,0.027733333333333346,0.027733333333333346,0.009309777777777776,0.09648718970815647,0.9,0.3124643975956101
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,50,-0.054436730757581195,0.054436730757581195,0.005676091094620525,0.07533983736789272,1.0,0.41412580868608545
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,50,0.055601230851451924,0.055601230851451924,0.005802476555084784,0.0761739887040503,0.915,0.27373052112396296
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,50,0.017184666666666692,0.017184666666666692,0.004392415199999999,0.06627529856590614,0.965,0.3168892578265272
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,50,0.0553745,0.0553745,0.006688957883333333,0.08178604944202485,0.765,0.20650037838135085
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,100,0.08888333333333334,0.08888333333333334,0.009082166666666664,0.09530040223769606,0.365,0.15048417503501235
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,100,0.03655000000000001,0.03655000000000001,0.0053550555555555565,0.07317824509753945,0.86,0.22134629581874068
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,100,-0.03504793642614004,0.03504793642614004,0.0024399786817160536,0.04939614035242079,1.0,0.30104332233923875
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,100,0.04229897115314124,0.04229897115314124,0.0029856832895127604,0.054641406364704416,0.94,0.19987802317507686
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,100,0.025418666666666697,0.025418666666666697,0.0020747441777777785,0.045549359795476585,0.995,0.22315961086889988
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,100,0.045184833333333334,0.045184833333333334,0.0034852714166666654,0.059036187348664934,0.75,0.1507358236575673
subj,Qwen/Qwen2.5-1.5B-Instruct,none,No correction,100,200,0.05995833333333337,0.05995833333333337,0.00415279166666667,0.0644421575264723,0.445,0.10862195144036577
subj,Qwen/Qwen2.5-1.5B-Instruct,split,Naive split,100,200,0.02611666666666668,0.02611666666666668,0.0026500555555555565,0.0514786903053638,0.855,0.15779097117949686
subj,Qwen/Qwen2.5-1.5B-Instruct,union_K,Union bound over K,100,200,-0.027950395672525444,0.027950395672525444,0.0013443233697201834,0.03666501561052693,1.0,0.21729801909716454
subj,Qwen/Qwen2.5-1.5B-Instruct,union_neff,Union bound over N_eff,100,200,0.026834835597278305,0.026834835597278305,0.00127621770354708,0.03572418933365851,0.955,0.1443660468905434
subj,Qwen/Qwen2.5-1.5B-Instruct,cross_fit,Cross-fitting,100,200,0.015181000000000023,0.015181000000000023,0.0008716480222222223,0.029523685783150826,0.98,0.15829462058116683
subj,Qwen/Qwen2.5-1.5B-Instruct,bootstrap,Bootstrap plug-in,100,200,0.029516333333333387,0.029516333333333387,0.0014820401541666686,0.03849727463297459,0.82,0.10836941467944788
